"State Code","County Code","Site Num","Parameter Code","POC","Latitude","Longitude","Datum","Parameter Name","Sample Duration","Pollutant Standard","Date Local","Units of Measure","Event Type","Observation Count","Observation Percent","Arithmetic Mean","1st Max Value","1st Max Hour","AQI","Method Code","Method Name","Local Site Name","Address","State Name","County Name","City Name","CBSA Name","Date of Last Change"
"01","073","0023","61103",1,33.553056,-86.815,"WGS84","Wind Speed - Resultant","1 HOUR","","2011-01-01","Knots","None",24,100.0,3.25,6.6,1,"","061","Instrumental - Met One Sonic Anemometer Model 50.5","North Birmingham","NO. B'HAM,SOU R.R., 3009 28TH ST. NO.","Alabama","Jefferson","Birmingham","Birmingham-Hoover, AL","2016-04-22"
"01","073","0023","61103",1,33.553056,-86.815,"WGS84","Wind Speed - Resultant","1 HOUR","","2011-01-02","Knots","None",24,100.0,2.033333,3.6,13,"","061","Instrumental - Met One Sonic Anemometer Model 50.5","North Birmingham","NO. B'HAM,SOU R.R., 3009 28TH ST. NO.","Alabama","Jefferson","Birmingham","Birmingham-Hoover, AL","2016-04-22"
"01","073","0023","61103",1,33.553056,-86.815,"WGS84","Wind Speed - Resultant","1 HOUR","","2011-01-03","Knots","None",24,100.0,0.991667,2.1,11,"","061","Instrumental - Met One Sonic Anemometer Model 50.5","North Birmingham","NO. B'HAM,SOU R.R., 3009 28TH ST. NO.","Alabama","Jefferson","Birmingham","Birmingham-Hoover, AL","2016-04-22"
"01","073","0023","61103",1,33.553056,-86.815,"WGS84","Wind Speed - Resultant","1 HOUR","","2011-01-04","Knots","None",24,100.0,1.091667,2.3,11,"","061","Instrumental - Met One Sonic Anemometer Model 50.5","North Birmingham","NO. B'HAM,SOU R.R., 3009 28TH ST. NO.","Alabama","Jefferson","Birmingham","Birmingham-Hoover, AL","2016-04-22"
"01","073","0023","61103",1,33.553056,-86.815,"WGS84","Wind Speed - Resultant","1 HOUR","","2011-01-05","Knots","None",24,100.0,1.5875,3.2,20,"","061","Instrumental - Met One Sonic Anemometer Model 50.5","North Birmingham","NO. B'HAM,SOU R.R., 3009 28TH ST. NO.","Alabama","Jefferson","Birmingham","Birmingham-Hoover, AL","2016-04-22"
"01","073","0023","61103",1,33.553056,-86.815,"WGS84","Wind Speed - Resultant","1 HOUR","","2011-01-06","Knots","None",24,100.0,2.508333,4,13,"","061","Instrumental - Met One Sonic Anemometer Model 50.5","North Birmingham","NO. B'HAM,SOU R.R., 3009 28TH ST. NO.","Alabama","Jefferson","Birmingham","Birmingham-Hoover, AL","2016-04-22"
"01","073","0023","61103",1,33.553056,-86.815,"WGS84","Wind Speed - Resultant","1 HOUR","","2011-01-07","Knots","None",24,100.0,3.991667,5.7,12,"","061","Instrumental - Met One Sonic Anemometer Model 50.5","North Birmingham","NO. B'HAM,SOU R.R., 3009 28TH ST. NO.","Alabama","Jefferson","Birmingham","Birmingham-Hoover, AL","2016-04-22"
"01","073","0023","61103",1,33.553056,-86.815,"WGS84","Wind Speed - Resultant","1 HOUR","","2011-01-08","Knots","None",24,100.0,5.3,5.3,0,"","061","Instrumental - Met One Sonic Anemometer Model 50.5","North Birmingham","NO. B'HAM,SOU R.R., 3009 28TH ST. NO.","Alabama","Jefferson","Birmingham","Birmingham-Hoover, AL","2016-04-22"
"01","073","0023","61103",1,33.553056,-86.815,"WGS84","Wind Speed - Resultant","1 HOUR","","2011-01-09","Knots","None",24,100.0,5.3,5.3,0,"","061","Instrumental - Met One Sonic Anemometer Model 50.5","North Birmingham","NO. B'HAM,SOU R.R., 3009 28TH ST. NO.","Alabama","Jefferson","Birmingham","Birmingham-Hoover, AL","2016-04-22"
